,i,j,v
0,36,124,31338.032
1,36,156,69373180.002
2,36,251,7384.54
3,36,276,271944.82700000005
4,36,360,805869.135
5,36,643,2249.829
6,36,682,19999.964
7,36,699,381591.62100000004
8,36,710,18989.372
9,36,784,68132.928
10,36,826,136274.627
11,36,842,161932.592
12,124,36,41141.17
13,124,156,3302740.709
14,124,251,518001.493
15,124,276,1273323.061
16,124,360,46700.415
17,124,643,35942.057
18,124,682,3701.717
19,124,699,181668.886
20,124,710,9342.833999999999
21,124,784,5744.058
22,124,826,762411.9720000001
23,124,842,54209751.162
24,156,36,2182404.3649999998
25,156,124,769398.477
26,156,251,612019.898
27,156,276,1192003.697
28,156,360,3019655.0590000004
29,156,643,838949.588
30,156,682,296171.363
31,156,699,5008835.837
32,156,710,359183.582
33,156,784,1096923.744
34,156,826,1045988.909
35,156,842,6274292.006
36,251,36,209018.614
37,251,124,71009.63799999999
38,251,156,322302.872
39,251,276,1634222.798
40,251,360,46261.856999999996
41,251,643,174040.15000000002
42,251,682,84847.56199999999
43,251,699,122081.378
44,251,710,57079.905
45,251,784,141345.225
46,251,826,673231.093
47,251,842,873740.4180000001
48,276,36,197409.387
49,276,124,159762.09
50,276,156,2825079.102
51,276,251,1947553.1439999999
52,276,360,57140.79
53,276,643,557423.015
54,276,682,116562.065
55,276,699,327048.183
56,276,710,169615.739
57,276,784,174182.552
58,276,826,1015421.782
59,276,842,1613308.083
60,360,36,361659.786
61,360,124,1086.433
62,360,156,2701886.043
63,360,251,9351.611
64,360,276,186338.654
65,360,643,17795.992000000002
66,360,682,2682.685
67,360,699,494254.806
68,360,710,9201.372000000001
69,360,784,9703.813
70,360,826,6465.256
71,360,842,168880.89
72,643,36,30127.772999999997
73,643,124,51708.19500000001
74,643,156,28612560.427
75,643,251,3386011.289
76,643,276,8821037.431
77,643,360,34421.222
78,643,682,396426.37899999996
79,643,699,619136.778
80,643,710,55686.323000000004
81,643,784,928579.1009999999
82,643,826,3096468.48
83,643,842,5760348.539
84,682,36,127.494
85,682,124,51865.035
86,682,156,25126952.762000002
87,682,251,2758421.429
88,682,276,527087.1819999999
89,682,360,1696030.885
90,682,643,240.284
91,682,699,11338964.993
92,682,710,2269035.497
93,682,784,697841.7390000001
94,682,826,846517.3589999999
95,682,842,7048545.095
96,699,36,938837.5290000001
97,699,124,59525.144
98,699,156,4839099.311
99,699,251,450816.46800000005
100,699,276,92354.906
101,699,360,205878.808
102,699,643,36967.390999999996
103,699,682,626058.8720000001
104,699,710,603551.696
105,699,784,3027226.552
106,699,826,411911.531
107,699,842,1992701.7120000003
108,710,36,22686.029000000002
109,710,124,26646.06
110,710,156,4379475.2469999995
111,710,251,57793.189999999995
112,710,276,1173362.8769999999
113,710,360,59898.43199999999
114,710,643,143912.042
115,710,682,30881.703
116,710,699,400175.09500000003
117,710,784,45523.177
118,710,826,126629.033
119,710,842,250774.045
120,784,36,860562.155
121,784,124,17423.229000000003
122,784,156,9042653.867
123,784,251,545477.508
124,784,276,5968.839
125,784,360,399781.27800000005
126,784,643,4912.214
127,784,682,929489.686
128,784,699,7638216.279999999
129,784,710,970346.429
130,784,826,398996.77699999994
131,784,842,475125.063
132,826,36,132203.451
133,826,124,170768.241
134,826,156,2400444.254
135,826,251,1008637.9550000001
136,826,276,2939516.409
137,826,360,15076.662999999999
138,826,643,122057.23700000001
139,826,682,64071.727
140,826,699,118502.084
141,826,710,85601.319
142,826,784,131722.291
143,826,842,1930237.1539999999
144,842,36,1462211.328
145,842,124,16578724.941
146,842,156,9375494.219
147,842,251,3061963.989
148,842,276,4688208.0030000005
149,842,360,491303.012
150,842,643,133579.484
151,842,682,267131.7
152,842,699,4833192.902
153,842,710,370201.024
154,842,784,694724.113
155,842,826,5043019.455999999
